feat,importance
l_bird_dog_peanut_butter_flavored_whiskey_mini,2.2359572799574685e-09
l_bird_dog_pumpkin_spice,3.113292053947128e-08
l_bird_dog_ruby_red_grapefruit,0.0
l_bird_dog_salted_caramel,2.1520910973634777e-05
l_bird_dog_salted_caramel_flavored_whiskey_mini,2.56995431852743e-06
l_bird_dog_smores,1.2630809447989159e-05
l_bird_dog_spiced,0.0
l_bird_dog_strawberry,1.0413968066665505e-07
l_bird_dog_strawberry_mini,1.8082607954386854e-08
l_birdie_juice_old_fashioned_buy_the_barrel,0.0
l_birthday_cake_sippin_cream,0.0
l_bison_ridge_3_year,0.0
l_bistra_apricot_brandy,0.0
l_bistra_slivovitz_plum_brandy,0.0
l_bitter_bianca,2.8157388398260714e-08
l_black_dog_triple_gold_reserve_scotch_whisky,0.0
l_black_saddle_bourbon,4.046014688720879e-08
l_black_tie_bourbon,0.0
l_black_velvet,0.00043990630845143556
l_black_velvet_apple,0.00020624133786057558
l_black_velvet_apple_mini,1.4115658207966293e-06
l_black_velvet_mini,3.0014240000311035e-05
l_black_velvet_peach_canadian_whiskey,5.915105440637898e-05
l_black_velvet_peach_canadian_whiskey_mini,3.3138428477522195e-06
l_black_velvet_pet,0.00017586709054636545
l_black_velvet_reserve,3.579080037354553e-05
l_black_velvet_toasted_caramel,0.00020968525942463006
l_blackened_cask_strength_blended_whiskey_vol_4,0.0
l_blackened_whiskey,1.978659455428832e-08
l_blackened_x_rabbit_hole,0.0
l_blackheart_premium_spiced_rum,3.3505070442516337e-06
l_blackwell_rum,0.0
l_blade_bow,1.4702532479644803e-05
l_bladnoch_11_yo_single_malt_scotch_whisky,0.0
l_bladnoch_vinaya_nas_single_malt_scotch_whisky,0.0
l_blanton_gold_bourbon_buy_the_barrel,2.007743412746803e-06
l_blantons_bourbon,0.00015523305263911473
l_blantons_buy_the_barrel,0.0
l_blantons_gold_bourbon,1.5638514701080793e-05
l_blantons_straight_from_the_barrel_bourbon,7.616185457748732e-06
l_blood_oath_pact_10,1.2600164629854e-06
l_blood_oath_pact_no_9,0.0
l_bloody_butcher_bourbon,1.5062910179547137e-07
l_bloom_gin,0.0
l_blue_chair_bay_banana_rum,9.523197120468315e-07
l_blue_chair_bay_banana_rum_cream,1.1887928538826166e-06
l_blue_chair_bay_coconut_rum,1.953447605143204e-05
l_blue_chair_bay_coconut_rum_2023_commemorative_wrap,1.0164315125653586e-08
l_blue_chair_bay_key_lime_rum_cream,4.006443881321909e-06
l_blue_chair_bay_lime_rum,3.77096718687976e-06
l_blue_chair_bay_mango_rum_cream,0.0
l_blue_chair_bay_mocha_cream,0.0
l_blue_chair_bay_pineapple_rum_cream,7.398789803728575e-07
l_blue_chair_bay_spiced_rum,0.0
l_blue_chair_bay_vanilla_rum,0.0
l_blue_chair_bay_white_rum,8.456815963718487e-07
l_blue_dream,0.0
l_blue_ice_american_huckleberry_vodka,1.6567105196855526e-07
l_blue_ice_american_potato_vodka,5.095842438304842e-07
l_blue_ice_huckleberry_lemonade_vodka_cocktail,0.0
l_blue_ox_gin,9.764037163139025e-05
l_blue_ox_silver_rum,2.571428345057578e-06
l_blue_ox_vodka,0.0005738029746529757
